mes,dolar_blue
2009-01,3.77
2009-02,3.75
2009-03,3.77
2009-04,3.76
2009-05,3.72
2009-06,3.72
2009-07,3.77
2009-08,3.77
2009-09,3.74
2009-10,3.77
2009-11,3.77
2009-12,3.73
2010-01,3.96
2010-02,3.98
2010-03,3.98
2010-04,3.96
2010-05,3.94
2010-06,3.96
2010-07,3.96
2010-08,3.95
2010-09,3.97
2010-10,3.98
2010-11,3.96
2010-12,3.95
2011-01,4.35
2011-02,4.38
2011-03,4.29
2011-04,4.28
2011-05,4.34
2011-06,4.34
2011-07,4.35
2011-08,4.33
2011-09,4.34
2011-10,4.32
2011-11,4.31
2011-12,4.35
2012-01,5.71
2012-02,5.61
2012-03,5.62
2012-04,5.69
2012-05,5.83
2012-06,5.63
2012-07,5.72
2012-08,5.5
2012-09,5.37
2012-10,5.63
2012-11,5.71
2012-12,5.74
2013-01,8.64
2013-02,8.73
2013-03,8.72
2013-04,8.55
2013-05,8.63
2013-06,8.89
2013-07,8.65
2013-08,8.62
2013-09,8.95
2013-10,8.84
2013-11,8.71
2013-12,8.8
2014-01,13.05
2014-02,12.72
2014-03,12.61
2014-04,12.49
2014-05,12.26
2014-06,12.14
2014-07,11.98
2014-08,12.21
2014-09,12.17
2014-10,12.19
2014-11,12.15
2014-12,12.41
2015-01,14.09
2015-02,14.26
2015-03,14.12
2015-04,14.0
2015-05,13.84
2015-06,13.77
2015-07,14.05
2015-08,13.73
2015-09,13.9
2015-10,13.8
2015-11,13.94
2015-12,13.56
2016-01,15.23
2016-02,15.17
2016-03,15.01
2016-04,15.0
2016-05,15.05
2016-06,14.99
2016-07,15.18
2016-08,15.02
2016-09,15.08
2016-10,14.88
2016-11,15.03
2016-12,15.17
2017-01,17.32
2017-02,16.98
2017-03,16.92
2017-04,17.21
2017-05,16.97
2017-06,16.93
2017-07,17.05
2017-08,16.98
2017-09,16.96
2017-10,16.92
2017-11,17.23
2017-12,16.98
2018-01,27.99
2018-02,26.41
2018-03,28.8
2018-04,28.61
2018-05,28.26
2018-06,27.94
2018-07,27.9
2018-08,26.05
2018-09,25.44
2018-10,28.94
2018-11,28.92
2018-12,29.22
2019-01,47.86
2019-02,52.3
2019-03,50.69
2019-04,51.26
2019-05,50.81
2019-06,50.76
2019-07,47.16
2019-08,47.12
2019-09,52.16
2019-10,50.77
2019-11,50.21
2019-12,50.58
2020-01,126.83
2020-02,120.11
2020-03,113.7
2020-04,119.45
2020-05,117.8
2020-06,110.06
2020-07,111.53
2020-08,116.14
2020-09,123.71
2020-10,112.56
2020-11,120.66
2020-12,117.33
2021-01,168.14
2021-02,171.5
2021-03,169.62
2021-04,165.25
2021-05,162.94
2021-06,169.31
2021-07,166.81
2021-08,162.44
2021-09,167.62
2021-10,169.44
2021-11,161.5
2021-12,163.44
2022-01,251.81
2022-02,249.25
2022-03,236.19
2022-04,235.78
2022-05,249.81
2022-06,239.88
2022-07,239.56
2022-08,242.81
2022-09,239.64
2022-10,230.21
2022-11,238.67
2022-12,253.94
2023-01,624.36
2023-02,540.5
2023-03,526.78
2023-04,594.69
2023-05,580.44
2023-06,612.94
2023-07,610.75
2023-08,555.14
2023-09,565.94
2023-10,555.72
2023-11,627.69
2023-12,637.93
2024-01,1228.33
2024-02,1194.38
2024-03,1149.38
2024-04,1149.44
2024-05,1157.5
2024-06,1145.0
2024-07,1151.43
2024-08,1136.67
2024-09,1133.12
2024-10,1168.75
2024-11,1160.62
2024-12,1188.33
2025-01,1255.0
2025-02,1193.33
2025-03,1212.0
2025-04,1218.75
2025-05,1190.0
2025-06,1181.0
2025-07,1296.45
2025-08,1337.93